record_type,scenario_name,group_hierarchy,request_name,status,start_timestamp,end_timestamp,response_time_ms,error_message,event_type,duration_ms,cumulated_response_time_ms,is_incoming
user,Single Events,,,,1759484785998,,,,start,,,
user,Single Events,,,,1759484805918,,,,end,,,
request,,,Login,OK,1759484786013,1759484786134,121,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484786152,1759484786207,55,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484786208,1759484786287,79,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484786287,1759484786351,64,,,,,false
request,,,Get first event,OK,1759484786392,1759484786412,20,,,,,false
request,,,Get relationships for first event,OK,1759484786413,1759484786420,7,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484786421,1759484786476,55,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484786477,1759484786563,86,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484786563,1759484786611,48,,,,,false
request,,,Get first event,OK,1759484786614,1759484786631,17,,,,,false
request,,,Get relationships for first event,OK,1759484786631,1759484786637,6,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484786637,1759484786685,48,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484786685,1759484786761,76,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484786762,1759484786809,47,,,,,false
request,,,Get first event,OK,1759484786811,1759484786827,16,,,,,false
request,,,Get relationships for first event,OK,1759484786827,1759484786832,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484786833,1759484786880,47,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484786880,1759484786954,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484786955,1759484787004,49,,,,,false
request,,,Get first event,OK,1759484787005,1759484787021,16,,,,,false
request,,,Get relationships for first event,OK,1759484787022,1759484787027,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484787028,1759484787086,58,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484787087,1759484787166,79,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484787166,1759484787214,48,,,,,false
request,,,Get first event,OK,1759484787216,1759484787231,15,,,,,false
request,,,Get relationships for first event,OK,1759484787232,1759484787237,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484787238,1759484787287,49,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484787288,1759484787364,76,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484787364,1759484787412,48,,,,,false
request,,,Get first event,OK,1759484787413,1759484787429,16,,,,,false
request,,,Get relationships for first event,OK,1759484787430,1759484787435,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484787435,1759484787496,61,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484787496,1759484787571,75,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484787571,1759484787619,48,,,,,false
request,,,Get first event,OK,1759484787620,1759484787636,16,,,,,false
request,,,Get relationships for first event,OK,1759484787636,1759484787641,5,,,,,false
