record_type,scenario_name,group_hierarchy,request_name,status,start_timestamp,end_timestamp,response_time_ms,error_message,event_type,duration_ms,cumulated_response_time_ms,is_incoming
user,Single Events,,,,1759484810041,,,,start,,,
user,Single Events,,,,1759484829621,,,,end,,,
request,,,Login,OK,1759484810056,1759484810164,108,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484810181,1759484810246,65,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484810247,1759484810331,84,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484810332,1759484810379,47,,,,,false
request,,,Get first event,OK,1759484810414,1759484810431,17,,,,,false
request,,,Get relationships for first event,OK,1759484810431,1759484810436,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484810437,1759484810485,48,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484810486,1759484810563,77,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484810563,1759484810610,47,,,,,false
request,,,Get first event,OK,1759484810613,1759484810628,15,,,,,false
request,,,Get relationships for first event,OK,1759484810629,1759484810634,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484810634,1759484810683,49,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484810684,1759484810760,76,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484810761,1759484810808,47,,,,,false
request,,,Get first event,OK,1759484810810,1759484810826,16,,,,,false
request,,,Get relationships for first event,OK,1759484810826,1759484810831,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484810831,1759484810880,49,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484810881,1759484810955,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484810955,1759484811002,47,,,,,false
request,,,Get first event,OK,1759484811004,1759484811019,15,,,,,false
request,,,Get relationships for first event,OK,1759484811019,1759484811024,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484811025,1759484811077,52,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484811078,1759484811154,76,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484811155,1759484811202,47,,,,,false
request,,,Get first event,OK,1759484811203,1759484811219,16,,,,,false
request,,,Get relationships for first event,OK,1759484811219,1759484811224,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484811225,1759484811275,50,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484811275,1759484811349,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484811350,1759484811397,47,,,,,false
request,,,Get first event,OK,1759484811398,1759484811414,16,,,,,false
request,,,Get relationships for first event,OK,1759484811414,1759484811419,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484811420,1759484811475,55,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484811475,1759484811549,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484811550,1759484811597,47,,,,,false
request,,,Get first event,OK,1759484811598,1759484811617,19,,,,,false
request,,,Get relationships for first event,OK,1759484811617,1759484811622,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484811623,1759484811670,47,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484811670,1759484811746,76,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484811746,1759484811794,48,,,,,false
request,,,Get first event,OK,1759484811795,1759484811811,16,,,,,false
request,,,Get relationships for first event,OK,1759484811811,1759484811816,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484811817,1759484811864,47,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484811864,1759484811938,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484811939,1759484811986,47,,,,,false
request,,,Get first event,OK,1759484811993,1759484812008,15,,,,,false
request,,,Get relationships for first event,OK,1759484812008,1759484812013,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484812014,1759484812061,47,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484812061,1759484812135,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484812135,1759484812182,47,,,,,false
request,,,Get first event,OK,1759484812183,1759484812198,15,,,,,false
request,,,Get relationships for first event,OK,1759484812198,1759484812203,5,,,,,false
request,,,Go to first page of program VBqh0ynB2wv,OK,1759484812203,1759484812252,49,,,,,false
request,,,Go to second page of program VBqh0ynB2wv,OK,1759484812252,1759484812326,74,,,,,false
request,,,Go back to first page of program VBqh0ynB2wv,OK,1759484812327,1759484812375,48,,,,,false
request,,,Get first event,OK,1759484812376,1759484812390,14,,,,,false
